anchor,min_match,sim_scale,n_nodes,n_edges,k_louvain,kmeans_ari,kmeans_nmi,kmeans_sil,gmm_ari,gmm_nmi,gmm_sil,birch_ari,birch_nmi,birch_sil,avg_ari,avg_sil,score
1,0.5,1.0,364,2988,7,0.031236332626809454,0.14539924624737668,0.9269120594292392,0.036564516819927055,0.17475463345450148,0.8461880481152768,0.0365002772277388,0.1746162778437882,0.8489388053381884,0.0347670422248251,0.8740129709609015,0.9087800131857265
1,0.4,1.0,423,4339,9,0.07059420803408702,0.2775567548082794,0.6041380307204258,0.0704360813446346,0.27704242979779103,0.6034371825045721,0.03515856654387054,0.1711423729569918,0.8493188518090619,0.05872961864086405,0.6856313550113532,0.7443609736522172
1,0.6,1.0,299,1854,8,0.11824928663743092,0.29342231279815084,0.31083957990074346,0.19254068857425552,0.37027275000586074,0.24325006617074996,0.125271545714522,0.30569536509021145,0.3300576002817236,0.14535384030873613,0.2947157487844057,0.44006958909314187
2,0.4,1.0,258,3313,7,0.12194718066857783,0.31352554635717816,0.09491006066103272,0.23281458671576,0.3669085171090392,0.08726120310266672,0.15954647324928228,0.3432836907649074,0.08632947022151997,0.1714360802112067,0.0895002446617398,0.2609363248729465
2,0.5,1.0,215,2229,6,0.10218525004123116,0.2580287578957079,0.08979550714983944,0.13564514513580084,0.2772351920540538,0.0821536211610314,0.1055428991864399,0.22918426365471048,0.07327962116089566,0.11445776478782398,0.08174291649058883,0.1962006812784128
2,0.6,1.0,186,1423,5,0.09421611618486837,0.151018735107862,0.07008210895924877,0.11401763613192402,0.20941799458772073,0.0887566247186594,0.13526557378148313,0.2279514170396052,0.07459422218066909,0.11449977536609184,0.07781098528619242,0.19231076065228425
4,0.6,1.0,129,1100,5,0.1409442130278197,0.20463158156032163,0.07348296273705372,0.042005387015875806,0.12118951240621512,0.057400770299482554,0.1461225814945013,0.2883820036718911,0.08656608531525013,0.10969072717939894,0.0724832727839288,0.18217399996332773
3,0.6,1.0,147,1201,5,0.07814900981924906,0.17400894574598966,0.10353100663071009,0.06108155757839722,0.10995326029558976,0.04089127165305758,0.12111994800725655,0.19086936773852411,0.09720617154616205,0.08678350513496762,0.08054281660997657,0.1673263217449442
3,0.4,1.0,215,2916,4,0.04701129062469674,0.082734386937564,0.05693431374994977,-0.017378389581346427,0.036699564631988146,0.16807601118700552,0.07981804896503529,0.13350290500179002,0.0436708328819024,0.0364836500027952,0.08956038593961922,0.12604403594241442
3,0.5,1.0,183,2005,4,0.03001089685360931,0.07496900390221442,0.06169158059126372,0.07146340152112839,0.1612946511522927,0.05834703152507234,0.05143172783886406,0.11631279118744406,0.0632377991052896,0.050968675404533925,0.06109213707387522,0.11206081247840916
4,0.4,1.0,191,2674,4,0.02447541740552873,0.0729904192860095,0.054065163839873795,0.04466867554013383,0.09086958342019753,0.057662164111748154,0.0684442883875084,0.09078228918139113,0.056922630343766656,0.045862793777723655,0.05621665276512953,0.10207944654285318
4,0.5,1.0,160,1804,3,0.015991392308833893,0.02113479116245574,0.06588896718735203,0.0269326192795008,0.05365204770250655,0.04509304843609277,-0.003507812398951431,0.023628187682492592,0.04541750552495029,0.013138733063127753,0.052133173716131694,0.06527190677925945
