artist,degree,weighted_degree,total_certifs,max_cert_level,avg_cert_level,collab_rate,annee_median,singles_rate,log_listeners,log_playcount,n_tags,has_lastfm,genre_rap_hiphop,genre_pop,genre_rock,genre_electronic,genre_rnb_soul,genre_chanson_fr,genre_metal,genre_jazz,genre_reggae_latin,genre_classical
M. POKORA,16,16.475262,9.0,5.0,1.7777777777777777,0.1111111111111111,2019.0,0.6666666666666666,11.737667737648135,14.790084160129084,5,1,1,1,0,0,1,0,0,0,0,0
ZAHO,27,20.006350000000005,3.0,2.0,0.6666666666666666,0.3333333333333333,2008.0,0.6666666666666666,11.456598470111594,14.275069834348061,5,1,1,0,0,0,1,0,0,0,0,0
AMIR,3,2.4920999999999998,10.0,5.0,2.7,0.0,2017.0,0.6,11.64907218464357,14.294203203137863,5,1,0,1,0,1,0,0,0,0,0,0
AMK,29,20.657997,2.0,2.0,1.0,0.0,2023.0,1.0,10.259622350622351,13.421995265555,5,1,0,0,0,0,0,0,0,0,0,0
DADI,16,11.120111,1.0,0.0,0.0,0.0,2024.0,1.0,9.830325286907144,12.572405303256451,3,1,1,0,0,0,0,0,0,0,0,0
YORSSY,30,24.204817999999996,2.0,5.0,2.5,0.0,2024.0,1.0,10.08138266037717,13.042523315863345,5,1,1,0,0,0,0,0,0,0,0,0
STARE DOBRE MAŁZENSTWO,11,7.7145600000000005,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
FAVE,36,27.18778,3.0,5.0,2.3333333333333335,0.3333333333333333,2023.0,1.0,11.041977389875884,14.756880169281569,5,1,1,0,0,0,0,0,0,0,0,0
VEN1,27,20.446042000000006,5.0,5.0,1.4,0.0,2024.0,0.8,10.223866701574616,13.648293550939071,0,1,0,0,0,0,0,0,0,0,0,0
LA MANO 1.9,30,24.399524,1.0,2.0,2.0,1.0,2024.0,1.0,10.599779782240146,14.10608843352808,0,1,0,0,0,0,0,0,0,0,0,0
R2,18,14.211078,1.0,2.0,2.0,0.0,2025.0,1.0,10.854025109805466,13.773612985217087,5,1,0,0,1,1,1,0,0,0,0,0
TKS 2G,15,8.592965000000001,2.0,2.0,1.0,0.5,2025.0,1.0,9.773151050808124,12.552636645718177,0,1,0,0,0,0,0,0,0,0,0,0
DJ KAWEST,28,19.416757,0.0,0.0,0.0,0.0,2015.0,0.0,10.424570390754766,12.826434056364466,2,1,1,0,0,0,0,0,0,0,0,0
GP EXPLORER,20,15.020297999999997,1.0,2.0,2.0,1.0,2025.0,1.0,10.623787731088578,13.719489625635205,0,1,0,0,0,0,0,0,0,0,0,0
VLADIMIR CAUCHEMAR,5,2.338941,2.0,0.0,0.0,0.5,2019.0,1.0,11.595942207353573,14.12381036659718,5,1,0,0,0,1,0,0,0,0,0,1
BEKAR,29,22.843303,1.0,0.0,0.0,1.0,2024.0,1.0,10.828440657488935,15.24189520597167,3,1,0,0,0,0,0,0,0,0,0,0
