Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
UZI;AKRAPOVITCH 5;ARGENTIC MUSIC / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;23/01/2020;23/04/2026;6 ans 4 mois
RIM'K;MONSTER;VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;15/01/2016;23/04/2026;10 ans 5 mois
ALAN WALKER, SABRINA CARPENTER & FARRUKO;ON MY WAY;KREATELL MUSIC / SONY MUSIC ENTERTAINMENT;Singles;Or;15/03/2019;23/04/2026;7 ans 2 mois
JOK'AIR;NUIT ET JOUR;PLAY TWO / BELIEVE;Singles;Or;20/03/2020;23/04/2026;6 ans 2 mois
LACRIM;L'IMMORTALE;PLATA O PLOMO RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;22/09/2021;23/04/2026;4 ans 7 mois
NIRO;JAMAIS DE NOUS;AMBITION MUSIC / SONY MUSIC ENTERTAINMENT;Singles;Or;10/02/2023;23/04/2026;3 ans 2 mois
TIF;DEMAIN C'EST B3ID;HOUMA SWEET HOUMA / ADA MUSIC FRANCE / WARNER MUSIC FRANCE;Singles;Or;10/03/2023;23/04/2026;3 ans 2 mois
ALOK, MONDELLO’ G, CERES & TRIBBS;LET'S GET FKD UP;COLUMBIA / B1 RECORDINGS / SONY MUSIC ENTERTAINMENT;Singles;Or;17/11/2023;23/04/2026;2 ans 5 mois
YOUSSOUPHA;DIEU EST GRANDE;99 REVOLUTION / ALLPOINTS / BELIEVE;Singles;Or;10/01/2025;23/04/2026;1 an 3 mois
WERENOI;INDUSTRY PLANT;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Or;11/04/2025;23/04/2026;1 an
JUSTIN BIEBER;DAISIES;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;11/07/2025;23/04/2026;9 mois
SUZANE;VIRILE;3EME BUREAU / WAGRAM;Singles;Or;26/09/2025;23/04/2026;6 mois
TRIANGLE DES BERMUDES;MAME;YPDP / PK INTERACTIVE;Singles;Or;21/07/2023;23/04/2026;2 ans 9 mois
LA FOUINE & TIMAR;BROKEN;PLAY TWO / BELIEVE;Singles;Or;13/11/2025;23/04/2026;5 mois
JUL;TRISTE EVERYDAY;D'OR ET DE PLATINE / BELIEVE;Singles;Or;05/12/2025;23/04/2026;4 mois
JUL;CROCODILE;D'OR ET DE PLATINE / BELIEVE;Singles;Platine;06/12/2019;23/04/2026;6 ans 5 mois
47TER;VIVRE;LABEL ENTRECÔTE/SONY MUSIC ENTERTAINMENT;Singles;Platine;29/10/2020;23/04/2026;5 ans 6 mois
SDM;LA VIE DE RÊVE;92I / CAPITOL / UNIVERSAL MUSIC FRANCE;Singles;Platine;18/02/2021;23/04/2026;5 ans 3 mois
JULIETTE ARMANET;QU'IMPORTE;ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE;Singles;Platine;19/11/2021;23/04/2026;4 ans 5 mois
KALASH;TOMBOLO;PLAY TWO / BELIEVE;Singles;Platine;01/04/2022;23/04/2026;4 ans 1 mois
DEAN LEWIS;HOW DO I SAY GOODBYE;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;31/08/2022;23/04/2026;3 ans 8 mois
LOMEPAL;HASARDER;PINÉALE / IDOL;Singles;Platine;16/09/2022;23/04/2026;3 ans 7 mois
TAYC;CARRY ME;PLAY TWO / BELIEVE;Singles;Platine;09/01/2023;23/04/2026;3 ans 4 mois
BENSON BOONE;MYSTICAL MAGICAL;NIGHT STREET RECORDS, INC./ WARNER RECORDS INC. / WEA / WARNER MUSIC FRANCE;Singles;Platine;24/04/2025;23/04/2026;1 an
PAUL KALKBRENNER & STROMAE;QUE CE SOIT CLAIR;B1 RECORDINGS / SONY MUSIC ENTERTAINMENT;Singles;Platine;28/08/2025;23/04/2026;7 mois
ZED;JOLI;LDS PRODUCTION / BELIEVE;Singles;Diamant;09/09/2022;23/04/2026;3 ans 8 mois
WERENOI FEAT. TIAKOLA;TOUT SEUL;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Diamant;10/03/2023;23/04/2026;3 ans 2 mois
THE WEEKND FEAT. PLAYBOI CARTI;TIMELESS;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;25/09/2024;23/04/2026;1 an 7 mois
THEODORA & GUY2BEZBAR;PAY!;BOSS LADY RECORDS / VIRGIN RECORDS FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;24/04/2025;23/04/2026;1 an
GIMS & L2B;BLOQUÉ;PLAY TWO / BELIEVE;Singles;Diamant;07/11/2025;23/04/2026;5 mois
GIANNI FEAT. NINHO & DADJU;ACOLYTE;LABEL BLUE SKY / SONY MUSIC ENTERTAINMENT;Singles;Platine;17/03/2023;16/04/2026;3 ans 1 mois
PIERRE GARNIER;L'HORIZON;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Platine;07/06/2024;16/04/2026;1 an 10 mois
HELENA;TOUT A CHANGÉ (RIEN N’A CHANGÉ);RCA GROUP / SONY MUSIC ENTERTAINMENT;Singles;Platine;13/03/2025;16/04/2026;1 an 1 mois
JUNGELI & LENIE;À TES CÔTÉS;NEXT GENERATION - 2054 RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Platine;03/04/2025;16/04/2026;1 an
LOUANE;MAMAN;POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;29/03/2024;16/04/2026;2 ans
DISNEY, SHAKIRA;ZOO;WALT DISNEY RECORDS/POLYDOR/UNIVERSAL MUSIC FRANCE;Singles;Platine;10/10/2025;16/04/2026;6 mois
NINHO & TIAKOLA;LES DIAMANTS DE BOKASSA;REC. 118 / JEFE PRODUCTIONS / WARNER MUSIC FRANCE;Singles;Platine;09/01/2026;16/04/2026;3 mois
DJADJA & DINAZ FEAT. DJ BABS;MALÉFIQUE;CARRÉ MUSIC / BELIEVE;Singles;Diamant;21/07/2017;16/04/2026;8 ans 10 mois
LETO & NINHO;VIE DE STAR;REC. 118 / WARNER MUSIC FRANCE;Singles;Diamant;01/01/2021;16/04/2026;5 ans 4 mois
LA FÈVE;MAUVAIS PAYEUR;WALONE / ADA FRANCE / WARNER MUSIC FRANCE;Singles;Diamant;21/10/2021;16/04/2026;4 ans 6 mois
HUGEL, TOPIC, ARASH & DAECOLM;I ADORE YOU;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Diamant;19/07/2024;16/04/2026;1 an 9 mois
BIGFLO & OLI;KARMA;GOLDEN CHILD / AURA MUSIC / VIRGIN RECORDS / UNIVERSAL MUSIC FRANCE;Albums;Or;12/03/2026;16/04/2026;1 mois
FRANGLISH;VIBE (MOOD2 EDITION);CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Platine;09/07/2021;16/04/2026;4 ans 10 mois
NAPS;LA TN;OK MANY INDUSTRIE / 13EME ART / BELIEVE;Albums;Platine;17/06/2022;16/04/2026;3 ans 10 mois
NONO LA GRINTA;RESTART;MPR RECORDS / WARNER MUSIC FRANCE;Albums;Platine;25/04/2025;16/04/2026;11 mois
SHAWN MENDES;SHAWN MENDES;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Double Platine;25/05/2018;16/04/2026;8 ans
SCH;AUTOBAHN;MAISON BARON ROUGE / REC. 118 / WARNER MUSIC FRANCE;Albums;Double Platine;18/11/2022;16/04/2026;3 ans 5 mois
INDOCHINE;BABEL BABEL;RCA / SONY MUSIC ENTERTAINMENT;Albums;Triple Platine;07/09/2024;16/04/2026;1 an 7 mois
BILLIE EILISH;XANNY;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;29/03/2019;09/04/2026;7 ans 1 mois
BIRDY;KEEPING YOUR HEAD UP;ATLANTIC RECORDS UK / WARNER MUSIC FRANCE;Singles;Or;01/01/2016;09/04/2026;10 ans 5 mois
BEYONCÉ;ALL NIGHT;PARKWOOD ENTERTAINMENT / COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Or;23/04/2016;09/04/2026;10 ans 1 mois
KIKIMOTELEBA;TIGINI;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;21/05/2021;09/04/2026;4 ans 11 mois
SOUF;MA REINE;PHONOGRAM / UNIVERSAL MUSIC FRANCE;Singles;Or;20/09/2022;09/04/2026;3 ans 7 mois
KAROL G FEAT. PESO PLUMA;QLONA;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;15/08/2023;09/04/2026;2 ans 8 mois
JOSMAN;PROBLEMES DE RICHE;SIDELINE / SONY MUSIC ENTERTAINMENT;Singles;Or;28/10/2023;09/04/2026;2 ans 5 mois
JOSMAN;COHIBA;SIDELINE	/ SONY MUSIC ENTERTAINMENT;Singles;Or;28/10/2023;09/04/2026;2 ans 5 mois
STRAY KIDS;CHK CHK BOOM;REPUBLIC RECORDS / STRAY KIDS / VIRGIN MUSIC;Singles;Or;20/07/2024;09/04/2026;1 an 8 mois
DAMSO;LAISSE-MOI TRANQUILLE.;TRENTE-QUATRE CENTIMES;Singles;Or;15/11/2024;09/04/2026;1 an 5 mois
WERENOI;11.04.2025;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Or;07/04/2025;09/04/2026;1 an
MIKI;PARTICULE;STRUCTURE / BELIEVE;Singles;Or;09/07/2025;09/04/2026;9 mois
GIMS & R2;INCOGNITO;GEANTE ROUGE / BELIEVE;Singles;Or;12/12/2025;02/04/2026;3 mois
M83, FELSMANN + TILEY;SOLITUDE;NAÏVE / BELIEVE;Singles;Or;14/05/2020;02/04/2026;5 ans 11 mois
WERENOI;MOTEUR BRÛLANT;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Or;18/10/2024;02/04/2026;1 an 5 mois
GAUVAIN SERS;POURVU;BELLEVUE / IDOL;Singles;Or;17/12/2016;02/04/2026;9 ans 5 mois
EL ALFA, EL CHERRY SCOM & CJ;LA MAMÁ DE LA MAMÁ;EL JEFE RECORDS / ORCHARD;Singles;Or;22/11/2022;02/04/2026;3 ans 4 mois
TKS 2G;LA POLICE;SHEDWAVE RECORDS / ORCHARD;Singles;Or;11/07/2025;02/04/2026;8 mois
ORELSAN & SDM;SOLEIL LEVANT;7TH MAGNITUDE / STRONG NINJA / RCA / SONY MUSIC ENTERTAINMENT;Singles;Or;06/11/2025;02/04/2026;4 mois
BORMIN';BREAK YOUR HEART;3EME BUREAU / WAGRAM;Singles;Or;29/04/2025;02/04/2026;11 mois
PLK;EA7;PANENKA MUSIC / WAGRAM;Singles;Or;19/01/2024;02/04/2026;2 ans 2 mois
FAVÉ;MODE AVION;MORNING GLORY MUSIC / 109 RECORD / BELIEVE;Singles;Platine;21/06/2022;02/04/2026;3 ans 10 mois
GIMS & THEODORA;SPA;BLACK BELT / BELIEVE;Singles;Platine;16/01/2026;02/04/2026;2 mois
KIDAKI;UNE BALLE QUI TUE ?;JUSTON RECORDS / BELIEVE;Singles;Platine;15/02/2019;02/04/2026;7 ans 2 mois
LA FOUINE & NINHO;ETAT DES LIEUX - PART 1;PLAY TWO / BELIEVE;Singles;Platine;10/04/2025;02/04/2026;11 mois
SUPER-HI & NEEKA;FOLLOWING THE SUN (2026);BLENDED / BELIEVE;Singles;Platine;02/10/2020;02/04/2026;5 ans 6 mois
ZKR;LES GENTILS BANDITS;MORNING GLORY MUSIC / ALL ROAD /  BELIEVE;Singles;Platine;18/02/2022;02/04/2026;4 ans 2 mois
KERCHAK FEAT. KILLEMV & ZIAK;T'AIMERAIS;LABEL BLUE SKY / SONY MUSIC ENTERTAINMENT;Singles;Platine;15/12/2023;02/04/2026;2 ans 3 mois
CHARLOTTE CARDIN;TANT PIS POUR ELLE;PARLOPHONE / WARNER MUSIC FRANCE;Singles;Platine;05/09/2025;02/04/2026;6 mois
BOUSS;BIFF PAS D'LOVE;LE GRAND CARRÉ / LEVEL UP MUSIC / BELIEVE;Singles;Diamant;30/05/2025;02/04/2026;10 mois
JUL;ON M'APPELLE L'OVNI;D'OR ET DE PLATINE / BELIEVE;Singles;Diamant;26/10/2016;02/04/2026;9 ans 6 mois
ANNA OF THE NORTH;LOVERS;PLAY IT AGAIN SAM / PIAS FRANCE / INTEGRAL VIRGIN MUSIC GROUP B.V.;Singles;Or;31/05/2017;26/03/2026;8 ans 11 mois
BENAB;AU CLAIR DE LA RUE;DRACARYS MUSIC / CAPITOL / BENDO / UNIVERSAL MUSIC FRANCE;Singles;Or;12/01/2021;26/03/2026;5 ans 3 mois
BLOOD ORANGE;CHAMPAGNE COAST;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;14/05/2021;26/03/2026;4 ans 11 mois
BRUNO MARS;I JUST MIGHT;ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE;Singles;Or;09/01/2026;26/03/2026;2 mois
COLLECTIF MÉTISSÉ;DANS LES YEUX D'EMILIE;ARCAPROD / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;28/07/2023;26/03/2026;2 ans 8 mois
DJADJA & DINAZ;LA HAINE;CARRÉ MUSIC / BELIEVE;Singles;Or;17/03/2017;26/03/2026;9 ans 1 mois
DJADJA & DINAZ;FULL BLACK;CARRÉ MUSIC / BELIEVE;Singles;Or;03/03/2023;26/03/2026;3 ans 1 mois
DON TOLIVER;NO POLE;CACTUS JACK / ATLANTIC / WARNER MUSIC FRANCE;Singles;Or;28/02/2023;26/03/2026;3 ans 1 mois
GAËTAN ROUSSEL;TU ME MANQUES (POURTANT TU ES LÀ);BARCLAY / LABEL PANTHEON / UNIVERSAL MUSIC FRANCE;Singles;Or;28/09/2018;26/03/2026;7 ans 7 mois
HUGH JACKMAN;FROM NOW ON;ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE;Singles;Or;08/12/2017;26/03/2026;8 ans 5 mois
JUL;JE SUIS COMME TOI;D'OR ET DE PLATINE / BELIEVE;Singles;Or;08/02/2017;26/03/2026;9 ans 3 mois
DAN BLACK & LOUANE;ORCHESTRA;UN PLAN SIMPLE / ORCHARD;Singles;Or;13/06/2025;19/03/2026;9 mois
KPOP DEMON HUNTERS;TAKEDOWN;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;20/06/2025;19/03/2026;9 mois
TAME IMPALA;DRACULA;COLUMBIA / SONY MUSIC ENTERTAINMENT;Singles;Or;26/09/2025;19/03/2026;5 mois
ASHVMA;FOCUS;PDS RECORDS / CAPITOL / UNIVERSAL MUSIC FRANCE / ORCHARD;Singles;Or;03/12/2025;19/03/2026;3 mois
WIXO & LA2S;GMK;QUALITY NO STRESS / WAGRAM;Singles;Or;24/12/2025;19/03/2026;2 mois
JOSMAN;PETITE BULLE;SIDELINE	/ SONY MUSIC ENTERTAINMENT;Singles;Platine;23/01/2020;19/03/2026;6 ans 2 mois
SKG;CASA DE PAPEL;JAIYE - ENJOY GOOD MUSIC / BELIEVE;Singles;Platine;30/04/2018;19/03/2026;8 ans
LUV RESVAL;CETTE FILLE;AWA / SONY MUSIC ENTERTAINMENT;Singles;Platine;04/06/2021;19/03/2026;4 ans 10 mois
ATLXS;PASSO BEM SOLTO;ATLXS / ORCHARD;Singles;Platine;23/04/2024;19/03/2026;1 an 11 mois
FRANGLISH FEAT. DINOS;LA PLUIE;LUTECE MUSIC / BELIEVE;Singles;Platine;21/02/2025;19/03/2026;1 an 1 mois
GP EXPLORER, ADÈLE CASTILLON, ZAMDANE;EN BOUCLE;MAISON BARON ROUGE / BELIEVE;Singles;Platine;02/10/2025;19/03/2026;5 mois
GENEZIO & NISKA;OG;LOSSA RECORDS / BELIEVE;Singles;Platine;27/11/2025;19/03/2026;3 mois
HOSHI;AMOUR CENSURE;JO&CO / BELIEVE;Singles;Diamant;02/12/2019;19/03/2026;6 ans 4 mois
SDM;RIHANNA;92I / CAPITOL / UNIVERSAL MUSIC FRANCE;Singles;Diamant;26/05/2021;19/03/2026;4 ans 10 mois
CLARA LUCIANI;AMOUR TOUJOURS;ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;20/05/2021;19/03/2026;4 ans 10 mois
WERENOI;JAMAL;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Diamant;03/06/2022;19/03/2026;3 ans 10 mois
JADEN BOSJEN, DAVID GUETTA, SAMI BRIELLE;LET'S GO;SPINNIN' RECORDS / WARNER MUSIC FRANCE;Singles;Diamant;05/07/2024;19/03/2026;1 an 8 mois
UZI;COEUR ABÎMÉ;ARGENTIC MUSIC / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Platine;19/02/2021;19/03/2026;5 ans 1 mois
BEN MAZUÉ;PARADIS;COLUMBIA / SONY MUSIC ENTERTAINMENT;Albums;Double Platine;06/11/2020;19/03/2026;5 ans 5 mois
JULIETTE ARMANET;BRÛLER LE FEU;ROMANCE MUSIQUE / UNIVERSAL MUSIC FRANCE;Albums;Triple Platine;19/11/2021;19/03/2026;4 ans 4 mois
WERENOI;DIAMANT NOIR;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Albums;Triple Platine;11/04/2025;19/03/2026;11 mois
DAMSO;SMEAGOL;CARTHAGE MUSIC / UNIVERSAL MUSIC FRANCE;Singles;Or;16/03/2018;12/03/2026;8 ans 1 mois
KIMBEROSE;I’M SORRY;THE FREED / SONY MUSIC ENTERTAINMENT;Singles;Or;06/10/2017;12/03/2026;8 ans 6 mois
GLK;ZEHMA;PLAY TWO / BELIEVE;Singles;Or;24/06/2021;12/03/2026;4 ans 9 mois
MORAD FEAT. NINHO;MARÍA;M.D.L.R / ORCHARD;Singles;Or;11/05/2023;12/03/2026;2 ans 10 mois
JOSMAN;CARLO;SIDELINE	/ SONY MUSIC ENTERTAINMENT;Singles;Or;28/10/2023;12/03/2026;2 ans 4 mois
CREEPY NUTS;BLING-BANG-BANG-BORN;SONY MUSIC ENTERTAINMENT;Singles;Or;07/01/2024;12/03/2026;2 ans 2 mois
SOUND OF LEGEND;MOONLIGHT SHADOW;PLAY TWO / BELIEVE;Singles;Or;11/10/2024;12/03/2026;1 an 5 mois
WERENOI;COLISÉE;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Or;11/04/2025;12/03/2026;11 mois
TIAKOLA, GENEZIO & LANDY;CATIMINI;M3LO WORLD / ATLANTIC RECORDS / WARNER MUSIC FRANCE;Singles;Or;20/06/2025;12/03/2026;8 mois
DJADJA & DINAZ;TU SAIS;CARRÉ MUSIC / BELIEVE;Singles;Platine;18/06/2025;05/03/2026;8 mois
RK & NINHO;SALE ÉTAT;HYPER FOCAL MUSIC / FAMILY AND CO PRODUCTIONS / BELIEVE;Singles;Platine;26/09/2025;05/03/2026;5 mois
ED SHEERAN;HAPPIER;ATLANTIC RECORDS UK / WEA / WARNER MUSIC FRANCE;Singles;Diamant;03/03/2017;05/03/2026;9 ans 1 mois
ED SHEERAN FEAT. KHALID;BEAUTIFUL PEOPLE;ATLANTIC RECORDS UK / WEA / WARNER MUSIC FRANCE;Singles;Diamant;28/06/2019;05/03/2026;6 ans 9 mois
SDM;PRINCE DE LA CALLE;92I / CAPITOL / UNIVERSAL MUSIC FRANCE;Singles;Diamant;19/11/2020;05/03/2026;5 ans 4 mois
MAES & WERENOI;CORDILLÈRE;OMERTA 47 RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Diamant;18/07/2024;05/03/2026;1 an 7 mois
DAMIANO DAVID;BORN WITH A BROKEN HEART;RCA / SONY MUSIC ENTERTAINMENT;Singles;Diamant;25/10/2024;05/03/2026;1 an 4 mois
BOLÉMVN;VOL 169;MILLENIUM / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Or;28/05/2020;05/03/2026;5 ans 10 mois
BIGA*RANX;EH YO !;WLAB / WAGRAM;Albums;Or;24/06/2022;05/03/2026;3 ans 9 mois
DRAKE;HONESTLY, NEVERMIND;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Or;17/06/2022;05/03/2026;3 ans 9 mois
TIMAL;ULTIMATUM;ARGENTIC MUSIC / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Or;06/02/2025;05/03/2026;1 an 1 mois
LES ENFOIRÉS;2026, LA BALLADE DES ENFOIRÉS;SONY MUSIC/RESTOS DU COEUR / SONY MUSIC ENTERTAINMENT;Albums;Or;27/02/2026;05/03/2026;
50 CENT;BEST OF 50 CENT;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Platine;31/03/2017;05/03/2026;9 ans
NINHO & NISKA;GOAT;JEFE PRODUCTIONS / CHARO INC / WARNER MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Albums;Double Platine;25/10/2024;05/03/2026;1 an 4 mois
MABEL;MAD LOVE;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;07/06/2019;05/03/2026;6 ans 10 mois
SCH;PAS LA PAIX;MILLENIUM / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;05/05/2017;05/03/2026;8 ans 11 mois
XXXTENTACION;SAVE ME;EMPIRE / BIGWAX DISTRIBUTION;Singles;Or;12/04/2019;05/03/2026;6 ans 11 mois
KIM;CONFIDENCE;SECTION ZOUK / IDOL;Singles;Or;01/01/2009;28/02/2026;17 ans 4 mois
BOOBA;LA MORT LEUR VA SI BIEN;TALLAC RECORDS / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;07/02/2014;28/02/2026;12 ans 2 mois
KANYE WEST;FOLLOW GOD;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;25/10/2019;26/02/2026;6 ans 5 mois
MOJI X SBOY;REGARDE-MOI;WLAB / WAGRAM;Singles;Or;29/05/2019;26/02/2026;6 ans 10 mois
MOHA LA SQUALE;BENITA;ELEKTRA FRANCE / WARNER MUSIC FRANCE;Singles;Or;21/08/2020;26/02/2026;5 ans 7 mois
RILÈS;E A VERDADE;CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Or;30/08/2019;26/02/2026;6 ans 7 mois
GEORGIO FEAT. S.PRI NOIR;FULL MOON;PANENKA MUSIC / WAGRAM;Singles;Or;05/05/2021;26/02/2026;4 ans 10 mois
WERENOI;DEREK;AWA / SONY MUSIC ENTERTAINMENT;Singles;Or;18/06/2021;26/02/2026;4 ans 9 mois
LETO FEAT. MAES;DERRIÈRE NOS TOURS;REC.118 / WINTERFELL / WARNER MUSIC FRANCE;Singles;Or;17/09/2021;26/02/2026;4 ans 6 mois
JAZZY BAZZ FEAT. NEKFEU;ÉLÉMENT 115;3.14 PRODUCTION / IDOL;Singles;Or;20/01/2022;26/02/2026;4 ans 1 mois
VØJ & NARVENT;MEMORY REBOOT;VØJ / ORCHARD;Singles;Or;11/05/2023;26/02/2026;2 ans 10 mois
LAUFEY;FROM THE START;LAUFEY / ORCHARD;Singles;Or;11/05/2023;26/02/2026;2 ans 10 mois
DADJU & TAYC;TOUT ESSAYER ?;PLAY TWO / BELIEVE;Singles;Or;16/02/2024;26/02/2026;2 ans
DAVE FEAT. TEMS;RAINDANCE;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;23/10/2025;19/02/2026;3 mois
NINHO;+971;REC. 118 / JEFE PRODUCTIONS / WARNER MUSIC FRANCE;Singles;Or;28/11/2025;19/02/2026;2 mois
TAYLOR SWIFT;OPALITE;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Or;03/10/2025;19/02/2026;4 mois
WIZKID;JORO;STARBOY/RCA RECORDS / SONY MUSIC ENTERTAINMENT;Singles;Platine;30/09/2019;19/02/2026;6 ans 5 mois
JOSMAN;J'ALLUME;SIDELINE / SONY MUSIC ENTERTAINMENT;Singles;Platine;13/02/2020;19/02/2026;6 ans 1 mois
13 BLOCK;MOOD;ELEKTRA FRANCE / WARNER MUSIC FRANCE;Singles;Platine;06/04/2018;19/02/2026;7 ans 11 mois
CHAPPELL ROAN;PINK PONY CLUB;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;03/04/2020;19/02/2026;5 ans 11 mois
KALI UCHIS;TELEPATÍA;POLYDOR / UNIVERSAL MUSIC FRANCE;Singles;Platine;18/11/2020;19/02/2026;5 ans 3 mois
PINKFONG;BABY SHARK;PINKFONG / ORCHARD;Singles;Platine;13/01/2023;19/02/2026;3 ans 1 mois
CHEZILE;BEANIE;CHEZILE / 10K PROJECTS / WARNER MUSIC FRANCE;Singles;Or;02/04/2024;19/02/2026;1 an 10 mois
L2B & KLN;OVERBOOKING;O-VNEE MUSIC - 172 RECORD / CAPITOL MUSIC FRANCE / UNIVERSAL MUSIC FRANCE;Singles;Platine;20/02/2025;19/02/2026;1 an
RAYE;WHERE IS MY HUSBAND!;HUMAN RE SOURCES / ORCHARD;Singles;Platine;19/09/2025;19/02/2026;5 mois
R2;JAMAIS TOI;360 OTG / LABEL BLUE SKY / SONY MUSIC ENTERTAINMENT;Singles;Platine;23/09/2025;19/02/2026;4 mois
GP EXPLORER & ANYME023;TOUTE LA NUIT;MAISON BARON ROUGE / BELIEVE;Singles;Platine;02/10/2025;19/02/2026;4 mois
WERENOI, DAMSO & NINHO;TRIPLE V;PLR MUSIC / PGP RECORDS / ALLPOINTS / BELIEVE;Singles;Diamant;11/04/2025;19/02/2026;10 mois
FRANGLISH & KEBLACK;GÉNÉRATION IMPOLIE;LUTECE MUSIC / BELIEVE;Singles;Diamant;12/04/2025;19/02/2026;10 mois
CIGARETTES AFTER SEX;CIGARETTES AFTER SEX;PARTISAN RECORDS / INTEGRAL PIAS;Albums;Double Platine;09/06/2017;19/02/2026;8 ans 9 mois
BAD BUNNY;DEBÍ TIRAR MÁS FOTOS;RIMAS ENTERTAINMENT LLC / ORCHARD;Albums;Double Platine;05/01/2025;19/02/2026;1 an 1 mois
SHAKIRA;EL DORADO;SONY MUSIC LATIN / RCA / SONY MUSIC ENTERTAINMENT;Albums;Platine;26/05/2017;19/02/2026;8 ans 10 mois
DUB INC;SO WHAT;DIVERSITÉ / IDOL / IDOL;Albums;Platine;23/09/2016;19/02/2026;9 ans 6 mois
SOFIANE PAMART;LETTER;88 TOUCHES / DEMAIN / [PIAS];Albums;Platine;11/02/2022;19/02/2026;4 ans
BLACKPINK;BORN PINK;UNIVERSAL MUSIC / POLYDOR / UNIVERSAL MUSIC FRANCE;Albums;Platine;16/09/2022;19/02/2026;3 ans 5 mois
ALEX WARREN;YOU'LL BE ALRIGHT, KID (CHAPTER 1);ATLANTIC RECORDS / WEA / WARNER MUSIC FRANCE;Albums;Platine;27/09/2024;19/02/2026;1 an 5 mois
PNL;DANS LA LÉGENDE;QLF RECORDS / BELIEVE;Albums;Triple Diamant;16/09/2016;19/02/2026;9 ans 6 mois
ALIOCHA SCHNEIDER;ALIOCHA SCHNEIDER;TÔT OU TARD / BELIEVE;Albums;Or;29/09/2023;19/02/2026;2 ans 5 mois
