Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
TRACY CHAPMAN;1ER ALBUM;EAST WEST FRANCE/ELEKTRA / ASYLUM;Albums;Diamant;17/04/1988;28/06/2000;12 ans 4 mois
COMPILATION;PLUS DE TUBES 2000;BMG France/VOGUE;Albums;Or;25/06/2000;28/06/2000;
INDOCHINE;GENERATION INDOCHINE;BMG France/ARIOLA France;Albums;Or;09/04/2000;28/06/2000;2 mois
BARRY WHITE;ULTIMATE COLLECTION;UNIVERSAL/MERCURY;Albums;Double Platine;01/03/1999;28/06/2000;1 an 4 mois
ALL SAINTS;PURE SHORES;EAST WEST FRANCE/LONDON RECORDS;Singles;Or;14/02/2000;28/06/2000;4 mois
MADONNA;AMERICAN PIE;WARNER MUSIC FRANCE/MAVERICK;Singles;Or;24/02/2000;28/06/2000;4 mois
MISSY ELLIOTT;ALL N MY GRILL;EAST WEST FRANCE/ELEKTRA/ASYLUM;Singles;Or;14/07/1999;28/06/2000;11 mois
MYLENE FARMER;OPTIMISTIQUE ? MOI;UNIVERSAL/STUFFED MONKEY/POLYDOR;Singles;Or;21/02/2000;28/06/2000;4 mois
PATRICK SEBASTIEN;Le petit bonhomme en mousse;UNIVERSAL/FAISAGE MUSIC/POLYDOR;Singles;Or;16/11/1999;28/06/2000;7 mois
S. LORCA & S. LACEN;Tu me manques depuis longtemps;UNIVERSAL/MERCURY;Singles;Or;14/02/2000;28/06/2000;4 mois
DANIEL LEVI;L?ENVIE D?AIMER;UNIVERSAL/ATLETICO/MERCURY;Singles;Or;05/06/2000;28/06/2000;
FRENCH AFFAIR;My heart goes boom;BMG FRANCE/ARIOLA INTERNATIONAL;Singles;Or;09/04/2000;28/06/2000;2 mois
HELENE SEGARA;ELLE TU L?AIMES;EAST WEST FRANCE/B G PRODUCTIONS;Singles;Or;17/04/2000;28/06/2000;2 mois
COMPAY SEGUNDO;CALLE SALUD;EAST WEST FRANCE/DRO;Albums;Or;26/05/1999;28/06/2000;1 an 1 mois
DIVERS;LES 10 COMMANDEMENTS;UNIVERSAL/ATLETICO/MERCURY;Albums;Or;26/06/2000;28/06/2000;
ERA;ERA 2;UNIVERSAL/TRANMAN;Albums;Or;15/05/2000;28/06/2000;1 mois
TRACY CHAPMAN;TELLING STORIES;EAST WEST FRANCE/ELEKTRA / ASYLUM;Albums;Or;14/02/2000;28/06/2000;4 mois
D. SARGUE & C. CARA;AIMER;UNIVERSAL/BAXTER;Singles;Platine;03/04/2000;28/06/2000;2 mois
HELENE SEGARA;Il y a trop de gens qui t?aiment;EAST WEST FRANCE/B G PRODUCTIONS;Singles;Platine;08/11/1999;28/06/2000;7 mois
