annee_sortie,mois_sortie,log_jours_obtention,n_artistes,is_collab,artist_total_certs,artist_max_cert_level,artist_collab_rate,label_freq,cert_level,cat_Singles,cat_Albums,cat_Videos,cat_Compilation
2022,10,7.087573705557973,1,0,37,5,0.24324324324324326,0.0034899663467530847,0,1,0,0,0
2023,2,6.982862751468942,3,1,8,3,0.125,0.0007478499314470896,0,1,0,0,0
2023,9,6.7661917146603505,1,0,37,5,0.24324324324324326,0.0034899663467530847,0,1,0,0,0
2023,10,6.74993119378857,3,1,23,5,0.391304347826087,0.035398230088495575,0,1,0,0,0
2024,9,6.198478716492308,2,1,27,5,0.25925925925925924,0.035398230088495575,2,1,0,0,0
2025,6,5.4116460518550396,1,0,1,2,0.0,0.035398230088495575,2,1,0,0,0
2017,7,8.041734711487537,2,1,6,5,0.5,0.0016203415181353608,5,1,0,0,0
2022,10,7.099201743553092,2,1,17,5,0.23529411764705882,0.0026174747600648134,5,1,0,0,0
2022,10,7.095064377287131,2,1,2,5,0.5,0.0002492833104823632,5,1,0,0,0
2023,2,6.98933526597456,2,1,17,5,0.11764705882352941,0.0011217748971706345,5,1,0,0,0
2025,5,5.501258210544727,2,1,63,6,0.09523809523809523,0.0026174747600648134,5,1,0,0,0
2025,2,5.8888779583328805,1,0,12,7,0.3333333333333333,0.035398230088495575,5,1,0,0,0
2025,2,5.8888779583328805,1,0,22,5,0.045454545454545456,0.035398230088495575,5,1,0,0,0
2019,12,7.711996507047669,1,0,2,5,0.0,0.001869624828617724,5,1,0,0,0
2024,9,6.208590026096629,3,1,19,5,0.42105263157894735,0.0008724915866882712,5,1,0,0,0
2025,10,4.736198448394496,1,0,4,5,0.25,0.0003739249657235448,5,1,0,0,0
2018,12,7.8674885686991285,1,0,112,5,0.125,0.010345257385018073,5,0,1,0,0
2025,12,4.02535169073515,1,0,112,5,0.125,0.010345257385018073,3,0,1,0,0
2021,7,7.413970290190444,1,0,15,5,0.13333333333333333,0.0012464165524118161,4,0,1,0,0
2017,12,7.99799931797973,1,0,3,2,0.0,0.005982799451576717,2,0,1,0,0
2024,9,6.222576268071369,1,0,10,5,0.0,0.008724915866882713,0,0,1,0,0
2025,9,4.941642422609304,1,0,22,6,0.13636363636363635,0.0034899663467530847,0,0,1,0,0
2019,11,7.7266536648476425,1,0,1,0,0.0,0.013835223731771158,0,1,0,0,0
2016,6,8.160518247477505,1,0,1,0,0.0,0.0036146080019942664,0,1,0,0,0
2017,6,8.0507033814703,1,0,17,5,0.058823529411764705,0.0004985666209647265,0,1,0,0,0
2018,8,7.907651594711089,1,0,2,0,0.0,0.035398230088495575,0,1,0,0,0
2018,2,7.971776122880628,1,0,1,0,0.0,0.0023681914495824507,0,1,0,0,0
2019,8,7.757051142032013,2,1,2,0,0.5,0.01246416552411816,0,1,0,0,0
2018,8,7.911324018963353,1,0,9,5,0.2222222222222222,0.000997133241929453,0,1,0,0,0
2021,3,7.479299637782834,2,1,2,5,1.0,0.0034899663467530847,0,1,0,0,0
2021,12,7.316548177182976,1,0,4,0,0.25,0.0003739249657235448,0,1,0,0,0
2024,1,6.5998704992128365,2,1,12,5,0.16666666666666666,0.003739249657235448,0,1,0,0,0
2024,9,6.222576268071369,1,0,20,5,0.55,0.01246416552411816,0,1,0,0,0
2024,11,6.056784013228625,2,1,7,2,0.5714285714285714,0.01246416552411816,0,1,0,0,0
2020,4,7.649692623711514,2,1,6,5,0.5,0.0003739249657235448,2,1,0,0,0
2020,12,7.533158807455563,1,0,17,5,0.11764705882352941,0.01246416552411816,2,1,0,0,0
2021,12,7.313220387090301,2,1,38,5,0.34210526315789475,0.0016203415181353608,2,1,0,0,0
2023,1,7.00850518208228,1,0,2,5,0.0,0.0011217748971706345,2,1,0,0,0
2023,1,6.98933526597456,1,0,6,5,0.16666666666666666,0.029664713947401222,2,1,0,0,0
2023,9,6.754604099487962,1,0,7,2,0.0,0.0003739249657235448,2,1,0,0,0
2020,8,7.59488438721652,2,1,4,5,0.5,0.0013710582076529975,5,1,0,0,0
2020,10,7.559038255443384,2,1,6,5,1.0,0.0006232082762059081,5,1,0,0,0
2023,5,6.873163834212518,2,1,2,5,1.0,0.0034899663467530847,5,1,0,0,0
2024,3,6.530877627725885,1,0,7,5,0.14285714285714285,0.0003739249657235448,5,1,0,0,0
2024,7,6.280395838960195,1,0,2,5,0.0,0.01246416552411816,5,1,0,0,0
2025,4,5.659482215759621,1,0,22,6,0.13636363636363635,0.0034899663467530847,5,1,0,0,0
2023,9,6.733401891837359,1,0,6,2,0.0,0.0007478499314470896,2,0,1,0,0
2023,12,6.655440350367647,1,0,1,0,0.0,0.0001246416552411816,0,0,1,0,0
2025,2,5.7745515455444085,1,0,8,5,0.125,0.0001246416552411816,0,0,1,0,0
2016,12,8.109224953089955,1,0,112,5,0.125,0.010345257385018073,2,1,0,0,0
2016,3,8.18423477409482,1,0,7,5,0.0,0.0002492833104823632,2,1,0,0,0
