annee_sortie,mois_sortie,log_jours_obtention,n_artistes,is_collab,artist_total_certs,artist_max_cert_level,artist_collab_rate,label_freq,cat_Singles,cat_Albums,cat_Videos,cat_Compilation,cert_level
0.2631578947368421,-1.0,0.7995782868731698,0.0,0.0,-0.05555555555555555,0.0,0.9285714285714285,-0.2892561983471074,1.0,0.0,0.0,0.0,0
0.05263157894736842,-1.0,1.0302602790056727,0.0,0.0,0.05555555555555555,0.0,1.4444444444444442,-0.13223140495867766,1.0,0.0,0.0,0.0,0
0.21052631578947367,-0.6666666666666666,0.8594157988120059,2.0,1.0,-0.2222222222222222,-1.6666666666666667,1.625,-0.35537190082644626,1.0,0.0,0.0,0.0,0
0.2631578947368421,-0.6666666666666666,0.7878379373626319,0.0,0.0,-0.1111111111111111,0.0,1.0833333333333333,0.45454545454545453,1.0,0.0,0.0,0.0,0
0.3157894736842105,0.3333333333333333,0.6557837093663031,0.0,0.0,1.6666666666666667,0.0,2.223684210526316,-0.2644628099173553,1.0,0.0,0.0,0.0,0
0.42105263157894735,-0.8333333333333334,0.4887781888843656,0.0,0.0,0.5,0.0,0.7647058823529411,-0.29752066115702475,1.0,0.0,0.0,0.0,0
0.42105263157894735,-0.6666666666666666,0.47752098343579374,0.0,0.0,-0.2222222222222222,-1.6666666666666667,0.0,-0.33884297520661155,1.0,0.0,0.0,0.0,0
0.42105263157894735,0.6666666666666666,0.3616396000925268,0.0,0.0,-0.3888888888888889,-1.6666666666666667,0.0,1.5950413223140498,1.0,0.0,0.0,0.0,0
0.5263157894736842,-1.0,0.06469866922733723,0.0,0.0,-0.16666666666666666,0.0,1.3,-0.3636363636363636,1.0,0.0,0.0,0.0,0
0.5263157894736842,-0.5,-0.03546279847772388,0.0,0.0,1.6111111111111112,0.0,1.5810810810810811,-0.14049586776859502,1.0,0.0,0.0,0.0,0
0.5263157894736842,0.0,-0.16334676602172316,0.0,0.0,0.0,0.0,0.8125,1.975206611570248,1.0,0.0,0.0,0.0,0
0.5263157894736842,0.3333333333333333,-0.3083938845378063,0.0,0.0,-0.3333333333333333,-1.6666666666666667,0.0,-0.16528925619834708,1.0,0.0,0.0,0.0,0
0.42105263157894735,0.0,0.41997249675573983,0.0,0.0,-0.3333333333333333,0.0,0.0,-0.35537190082644626,1.0,0.0,0.0,0.0,0
0.5263157894736842,0.6666666666666666,-0.42889452985321036,1.0,1.0,-0.05555555555555555,-1.0,3.714285714285714,0.45454545454545453,1.0,0.0,0.0,0.0,0
0.5263157894736842,0.8333333333333334,-0.4966663291565666,0.0,0.0,5.777777777777778,0.0,0.8125,0.3140495867768595,1.0,0.0,0.0,0.0,0
0.21052631578947367,0.8333333333333334,0.8092397429785781,0.0,0.0,5.777777777777778,0.0,0.8125,0.3140495867768595,1.0,0.0,0.0,0.0,2
0.2631578947368421,0.5,0.7388224344503607,0.0,0.0,-0.05555555555555555,0.0,0.0,-0.3471074380165289,1.0,0.0,0.0,0.0,2
0.3157894736842105,-0.8333333333333334,0.7121043605227713,0.0,0.0,0.9444444444444444,0.0,2.08,-0.2314049586776859,1.0,0.0,0.0,0.0,2
0.3157894736842105,0.6666666666666666,0.6394202026299456,0.0,0.0,0.1111111111111111,0.0,0.0,-0.10743801652892557,1.0,0.0,0.0,0.0,2
0.3684210526315789,-0.5,0.5995654927438716,0.0,0.0,0.16666666666666666,0.0,1.7727272727272725,0.45454545454545453,1.0,0.0,0.0,0.0,2
0.3684210526315789,0.16666666666666666,0.5493894369104438,0.0,0.0,-0.2222222222222222,-1.0,0.0,1.975206611570248,1.0,0.0,0.0,0.0,2
0.3684210526315789,0.3333333333333333,0.5437780455746576,0.0,0.0,1.3333333333333333,0.0,0.8125,-0.2727272727272727,1.0,0.0,0.0,0.0,2
